標題,問題,回答
 關於糖尿病 和 體重減輕,"蕭醫生 您好: 去年健檢報告 空腹血糖超標(101 > 100)、糖化血色素(7 < 7) ， 前年(85 < 100)、糖化血色素(4 < 7) 怕一年一次健檢太久，所以五月底買了瑞特(GM700S)血糖機作計錄。 沒有特別服用藥物，有時肌肉酸痛會噴肌樂或撒隆巴斯 6月份的紀錄 19筆資料 空腹 平均是83mg/dl，最高值90mg/dl 晚上飯前 平均是90mg/dl，最高值101mg/dl 晚餐飯後5小時 平均是146mg/dl，最高值187mg/dl 晚餐飯後1 小時 平均是150mg/dl，最高值188mg/dl 晚餐飯後5小時 平均是131mg/dl，最高值160mg/dl 晚餐飯後2 小時 平均118mg/dl，最高值142mg/dl 身高168 體重(高中畢業時體重42kg 大學畢業55kg 進公司之後因為坐辦公室沒在動今年年初62kg 三月左右開始體重62kg -> 到現在54kg) 今年3月開始戒掉所有含糖飲料和宵夜 且些微減少正餐中的澱粉類食物(白飯和麵條等主食還是照吃)，每個禮拜2~3天跑步， 以前幾乎每天會喝茶(700cc含糖飲料)，或罐裝碳酸飲料，2天左右會吃消夜(以小籠包或泡麵或的麵類為主) 問題一: 飯後2H(3次超過或接近140)，2H內(最大值3次超過180,和2H>=140非同日)，想請您這是否有可能是糖尿病危險邊緣，或初期，(是否飯後2小時一定要低於140) 問題二: 2H內最大值有沒有標準。 問題三: 是否有飯後2H < 126mg/dl 比較好的說法? 問題四: 改變飲食習慣造有可能造成這麼多的體重減輕嗎? (平均每個月降2kg)因為降的有點多，有點擔心","ABC先生閣下: 請先閱讀以下兩點: 根據美國糖尿病醫學會關於糖尿病的診斷標準為： a.空腹8小時以上的血漿血糖值≥126mg/dl, b.口服葡萄糖耐量試驗2小時血漿血糖值≥200mg/dl, c.HBA1c（醣化血色素）≥5%(必須沒有不相稱的高血糖且檢驗方法必須合乎國際認證NGSP與DCCT化驗標準),以上a,b,c情況必須有兩次檢查合乎標準. d.臨床上有糖尿病症狀(多喝,多尿,多吃,體重減輕等),同時任意血漿血糖值≥200mg/dl.(這個情況只要一次即可). 一般而言,吃飯後血糖會逐漸上升,在飯後兩小時達到最高峰,然後逐漸下降.如果攝食高糖或高熱量的食物,而且體內胰島素分泌足夠,血糖值有可能急速上升;甚至在飯後一小時達到最高峰,再逐漸下降.所謂的飯後兩小時,是指開始進食算起的兩小時.醫學上,為了治療或討論的方便,幾乎多用飯後兩小時血糖值為準.較少有人用飯後一小時的血糖值做為討論或治療的標準。正常人的飯後血漿血糖值在140mg/dl以下,而葡萄糖耐受不良的人,飯後血漿血糖值介於140~180mg/dl之間.如果飯後血漿血糖值大於180mg/dl,就要考慮糖尿病的風險. 問題一:因為每次進食的量不同,閣下飯後兩小時的血糖值也一定會有變動.進行葡萄糖耐受試驗,有就是空腹八小時後,測量血糖值,然後口服75公克葡萄糖泡成的糖水,再測量血糖值.臨床上,就是這樣來做較精確的診斷.當然,平時在宅也可以自行驗飯後血糖,適當地調整飲食的內容,對於血糖的控制也會有所幫助的. 問題二:如前述,正常人的飯後血漿血糖值在140mg/dl以下,而葡萄糖耐受不良的人,飯後血漿血糖值介於140~180mg/dl之間.如果飯後血漿血糖值大於180mg/dl,就要考慮糖尿病的風險. 問題三:就個人所知,少有人採用飯後兩小時血糖<126mg/dl比較好的說法.不過,對一些健康的人而言,的確有人由於胰島素分泌的功能很好或者分泌很快,導致飯後兩小時血糖不只小於126mg/dl,甚至小於100mg/dl. 問題四:一般而言,減重的速度希望控制在每週5公斤左右;因此,兩個月減少2公斤應該是合理的.其實不論是減重或預防糖尿病,三餐用餐速度放慢,吃八分飽,避免高糖,高脂與高熱量飲食,多運動,睡眠充足,減少生活壓力;大概就可以有理想的成果了. 詳細討論為宜"
 糖尿病用藥請教,父親今年63歲，有糖尿病症狀（飯前血糖約 120)，並有服用糖尿病藥物， 由於父親屬於易瘦體質，非肥胖型，飲食茹素，不油膩不菸酒， 初期服用糖尿病藥物，讓他胃口變差，體重下降，外型明顯變得更瘦， 後來改換 - 愛妥糖（半顆/天）食慾恢復，整體有復原 近期 ，醫生用藥改 安胰敏（ansures） +利糖順（Glubose） 似乎食慾又受到影響，還在觀察 ： 易瘦體質的糖尿病人， 以選用適當的藥物？ 目前用藥 安胰敏+利糖順 是否適合父親的體質？ 換藥 是因為病情有變 還是有其他考量？ 愛妥糖是否適合父親體質使用？ 以上 感謝不吝釋疑 Paul Chen,Paul Chen先生閣下： 愛妥糖〔商品名：Actos&reg;；學名：Pioglitazone；每顆15mg 或 30mg〕 安胰敏〔商品名：Asures&reg;；學名：Metformin；每顆500mg〕 利糖順［商品名：Glubose&reg;；學名：Acarbose；每顆50mg］ 一般第2型糖尿病患者的首選藥物為Metformin，也就是閣下所謂的Asures&reg;。至於，體格較瘦的糖尿病患者的用藥選擇，在醫學上的確有時會有爭議。當然，病人的體重或身體質量指數值〔body mass index〕較低；以作為選擇藥物的參考；但是，臨床上沒有建議應該優先用哪一種藥物。 Metformin和Acarbose併用是否適合令尊，臨床上需要看症狀、檢驗報告與其他的考量而定。為何會換藥，請您請教他，才能真正了解。 Actos&reg;是一種胰島素受器的敏感劑，可以加強胰島素與受器的反應，有效地降低血糖。但是，常見引起的副作用為體重增加、下肢水腫、鹽分滯留與加重心臟衰竭等等。Asures&reg;不適、腹瀉、肝功能異常、體重減輕〔有時被視為較胖的糖尿病患者的利基〕、維生素B12缺乏等等。Glubose&reg;會干擾腸道內醣類分解酶的作用與糖分的吸收，導致常內細菌的作用加強；常見的副作用為排氣〔放屁的意思〕、腹瀉、肝功能異常等等。以上僅就藥物的副作用而言，其他還要考量病患本身的飲食、運動、生活型態等因素，才能選擇用藥；當然，也要準備承受藥物可能的副作用。因此，令尊的體質適合用哪一種藥物，好好討論為宜。 請注意糖尿病的控制除了藥物之外，飲食的總量與內容、規律的運動與否、生活型態的調整等等都要一併考量才好
 糖尿病水果,"鈞鑑: 請問空腹血糖160的病人,每天吃一杯自打果汁約200cc,可以嗎? 自打水果內容:蘋果,黎子,香蕉,笆樂,鳳梨有那些是禁食的?謝謝!","您好: 飯前血糖已超過140mg/dL, 可能是糖尿病前期, 故應至新陳代謝科追蹤 以上五種水果均為高好吃, 且易血糖增高, 故建議分開或減量服用 謝 謝!"
 長期喝牛奶會不會得糖尿病,我好幾年前到現在都一直喝牛奶，牛奶中好像有天然的胰島素，這會不會影響我的血糖濃度?,喝牛奶不會造成糖尿病，但有糖尿病的人飲食的均衡控制很重要，牛奶中的熱量及營養素成分應列入考慮，適度飲用
 糖尿病患低密度膽固醇數值需用藥嗎？,"我於健康檢查時發現糖化血色素為7，總膽固醇185、低密度膽固醇123，經過三個月運動與飲食控制後再次抽血檢查,糖化血色素降為8，總膽固醇183,低密度膽固醇113,接受訊息認為糖尿病患者的低密度膽固醇最好在100以下，請問我需服用降膽固醇藥物嗎？","如果有符合糖尿病診斷,根據國際大規模研究,將低密度膽固醇降至100以下,可以降低心血管疾病發生率,所以健保局才有給付膽固醇藥物使用"
 糖尿病諮詢,醫生你好： 我在時，抽飯前血糖98，醣化血色素8 再時，再抽飯前血糖91，醣化血素素7 但是到了再抽飯前血糖是102，抽血是104 但這兩次沒有再抽糖化血色素，然後開始覺得腳是不是有刺痛，疲勞，視力膜胡，頻尿等症狀 這樣是糖尿病嗎？我很恐慌 抱歉,"糖尿病的診斷標準是空腹血糖126以上, 或糖化血紅素5以上, 刺痛，疲勞，視力膜胡，頻尿,這些症狀目前無法用糖尿病解示"
 喝含糖飲料喝太快會比慢慢喝更有機率得到糖尿病,最近我同學提出了一個觀點，認為喝含糖飲料喝太快會更容易得糖尿病，我也有喝很快的習慣，所以想詢求正解,目前國際上並沒有進行喝飲料速度，和得糖尿病機率的研究，所以無法正確回答此問題，不過常期過量飲用含糖飲料的確會增加糖尿病風險，不可不慎~
 請問,"您好~我想請問一下,因母親有罹患輕微的糖尿病,長期有在服用藥物控制.但膝蓋關節退化,有朋友建議吃些液態葡萄糖胺的保健食品(紐力活,好股力。),不知是否可以飲用,謝謝醫生",您好： 回覆您的問題。 葡萄糖胺在體內會轉化成glycoprotein和glycoraminoglycan；被認為可提升軟骨內proteoglycan的合成，而改善骨性關節炎（osteoarthritis）的惡化。不良的反應僅有少數的上腹不適、噁心、心口灼熱感、皮疹、頭痛、嗜睡等。 由於結構式及代謝途徑的考量，很容易令人懷疑葡萄糖胺對糖尿病血糖控制的影響。有一些研究認為葡萄糖胺對血糖控制沒有影響，也有一些研究認為會影響胰島素的敏感度。醫學界目前仍有少許爭議。但是，並沒有完全否定。持平而論，如果使用葡萄糖胺仍要常常偵測血糖，並持續平常的血糖控制活動。另一方面，記得看清楚各種保健食品，是否還有其他需要注意的成分。 請教評估為宜
 糖尿病多尿 會引起便秘嗎,": 你好!! 請問 我先生長期有在服用高血壓的藥,平常尿就很多,直到最近,人快速消瘦,極度口渴,驗飯後2小時的血糖,飆到334,才知道患了糖尿病,目前有在服用Gliclazide MR 30mg/tab (Diamicron MR 30mg) 和 Metformin HC1 500/mg(Glubin F.C.Tablt) 服用完, 覺得胃很不舒服,想自行去藥局購藥,來減輕胃的不適, 可否請醫生建議, 先生原本就有一早如廁的習慣,都很順暢, 最近服了糖尿病的藥, 血壓藥也一起服用,反而便祕,是否因為糖尿病的病人本來就多尿,加上血壓的藥也是利尿劑, 才會造成便祕的現象,可否把血壓的藥停掉(他的血壓這2年都很正常) 還是有可以改善的方式",您好： 糖尿病藥物有可能引起腸胃道不適，有時減低劑量情形可改善，有時慢慢會適應，如還是不舒服就可能需要調整藥物，糖尿病藥物造成便秘較不常見。血壓藥物不宜自行停止服用，分的狀況是需終身使用，之指示下處理
 糖尿病疾,您好糖尿病除了遺傳以外.長期喝太甜飲料會德糖尿病嗎,"陳先生:您好. 先告知您第2型糖尿病的主要危險因子如下: 糖尿病家族史(父母、兄弟姊妹罹患糖尿病)年齡超過45歲 體重過重 (身體質量指數≧24 Kg/m2)平常缺乏運動種族/人種（如亞洲南方、加勒比海非洲人。等）曾有空腹血糖異常或葡萄糖耐量異常高血壓 (成人≧1 mmHg )高密度脂蛋白膽固醇≦35毫克/毫升 (90 mmol/l)及/或三酸甘油酯≧250毫克/毫升 (82 mmol/l)曾有妊娠糖尿病或嬰兒體重超過0公斤曾有心血管疾病史多囊性卵巢症候群. 至於您說的長期喝太甜飲料,可能會因為造成體重過重,增加糖尿病的風險. 謝謝您的提問,祝您健康!"
 糖尿病諮詢,"請問醫生: 糖尿病的原因很多,聽說胰臟發炎也會引起糖尿病,所以剛驗血糖及糖化血色素都很高,就會直接斷定是2型?這樣就不可能是胰臟發炎造成的嗎?或是應該再做其他檢查? 謝謝","您好:胰臟炎引起糖尿病,大多是因酗酒造成慢性胰臟炎再成為糖尿病.若您沒有此種情形,應是第二型糖尿病之機率最高.若有疑問請就診新陳代謝科"
 糖尿病引起病症,"你好:我朋友今年56歲去年底發現因糖尿病引起尿毒症,至今不斷嘔吐現已開始洗腎,洗腎後嘔吐症狀會減少嗎?開始洗腎他生命可以維持多久,洗腎後會有什麼後遺症嗎?洗久了會不會腎藏衰竭???","Q:因糖尿病引起尿毒症,至今不斷嘔吐現已開始洗腎,洗腎後嘔吐症狀會 減少嗎? A:嘔吐是尿毒症症狀之一,洗腎後應會改善嘔吐症狀 Q:開始洗腎他生命可以維持多久? A:配合洗腎及繼續控制血糖血壓血脂, 避免併發症(腦中風,心肌梗塞)產生,會有較好預後 Q:洗久了會不會腎臟衰竭??? A:今天是腎臟衰竭導致尿毒症才需洗腎, 不是洗久了會腎臟衰竭 洗得乾淨,吃得營養,人生才能恢復彩色的 謝謝您的發問,腎臟內科關心您"
 糖尿病與腎臟病,鈞鑑: 請問家母82歲抽血檢查飯前血糖160算不算已是典型糖尿病?要不要吃藥?eGFR值47是慢性腎臟病了嗎?第幾期?要不要吃藥?謝謝解惑! 袁應祖敬上,"飯前血糖160(單位應該是mg/dl),可能要再多測次飯前血糖,若持續 超過116mg/dl就要考慮是糖尿病(應該是第二型糖尿病),建議找新陳代 門診追蹤,給您建議是否用藥及其他控制方法 eGFR 47(單位應該是ml/min/73m^2), 我們無法用一次的抽血結果 (您所謂eGFR是用抽血creatinine所換算來的)來判斷是否為慢性腎臟 病(慢性腎臟病是指最少半年左右持續腎功能不良,所以最少我們需要2 次抽血結果來證實;有些人是急性腎損傷,經過週追蹤後甚功能就恢 復了!!).如果確認是慢性腎臟病(回溯過去抽血數值可確認),那麼47 ml/min/73m^2是屬於第3期,評估慢性腎臟病的情 形及需要的治療"
 糖尿病遺傳問題,您好： 我爸爸那邊有糖尿病遺傳基因，目前我爸爸50歲控制的還蠻好的。 想請問我有可能得糖尿病嗎？平時注意飲食應該可以預防吧？ 謝謝～,"糖尿病通常是多重因素所造成, 分原因 此外 糖尿病通常也可能合併其他代謝症候群 例如 高血壓 高血脂 建議您或是您父親可以定期監測血壓 血糖 血脂肪 飲食方面避免高糖或是高油食物 避免肥胖 規則作息 規則運動 分糖尿病以及代謝疾病的發生 謝謝您的提問"
 關於糖尿病少量多餐,"我一直對於少量多餐這個詞有所疑慮 與新聞常說 少量多餐 控制胰島素分泌 以及食物的攝取量 但最近我也有看到新說法: ""正常一餐約需要6小時才能完全消化、 完整代謝完畢，如果多餐，等於一波還沒結束， 一波又起，容易產生胰島素阻抗、葡萄糖耐量異常與高脂血症。"" 我自己是血糖偏高的糖尿病前期患者 我有維持重訓與有氧運動 一周5~7次 一次至少30~60分鐘 飲食也都有控制份量與種類(低GI) 但我的疑慮是 上述的胰島素問題,在可以保證定時定量與有運動的情況下 是否少量多餐反而容易產生胰島素阻抗? 假設運動量有夠,運動完進食是否算是少量多餐的一種? 因為重訓完我會喝個豆漿 牛奶+香蕉或地瓜之類的? 如果再飯後1到2小時開始運動,運動一個小時 等於飯後3小時後再進食,這樣胰島素反覆分泌 是否會項問題1一樣,反而不好? 這些問題困擾我很久了,解惑!!","先生閣下： 「少量多餐」這個名詞在日常生活中常被提起；可是，從來就沒有精確的定義，因而很容易被誤用。例如：什麼量才算是少量？食物的升糖指數（glycemic index）多少？食物的升糖負荷（glycemic load）多少？食物內的食品添加物為何？食物內的脂肪或蛋白質的含量與特性為何？多餐的定義又是幾餐？其實，還有很多問題有待商榷。個人只能告訴您，食物的總量與食物的內容也要特別注意；不要過量，也不要太精製或太多加工食品。 「上述的胰島素問題,在可以保證定時定量與有運動的情況下，是否少量多餐反而容易產生胰島素阻抗?」：以前醫學上只認為血糖升高會使得胰島素的分泌增加；後來研究得知，人類進食以後，食物在腸胃道階段會刺激許多腸泌素（incretin）的分泌，腸泌素就會刺激胰島素的大量分泌。胰島素除了會加強身體細胞對血糖得利用之外，也會加強糖類與胺基酸轉換成脂肪的作用；當身體沒有充份利用葡萄糖或貯存太多的脂肪與熱量時，胰島素阻抗的問題（insulin resistance）就會浮現。如果「多餐」裏的每一次量太多，加上前一餐尚未代謝完成時，理論上是會產生胰島素受器的阻抗問題。 「假設運動量有夠,運動完進食是否算是少量多餐的一種?因為重訓完我會喝個豆漿 牛奶+香蕉或地瓜之類的?」：規律的運動對於胰島素抗性的改善的確貢獻很大；但是，醫學上的先驗知識以為大約在20~30％左右。飲食的貢獻在30~40%左右，其它與遺傳或環境有關。個人的意思是：規律運動很重要，然而飲食的控制與生活型態的調整，也要非常注意。所以，運動完後進食，算不算是少量多餐的一種？個人仍然以為，食物的總量與熱量；不要超過身體可以代謝的負荷，才是最重要的。 「如果在飯後1到2小時開始運動，運動一個小時，等於飯後3小時後再進食，這樣胰島素反覆分泌是否會像問題1一樣，反而不好？」：其實，沒有一定的答案；因為不知道您的運動量與強度到底是多少，消耗的能量又是多少。還有，每日攝取的總熱量是否已經足夠了？不過，話又說回來，如果每一次運動或飲食都這樣「斤斤計較」，真得是違反生活的常理，也會增加生活的困擾與壓力；個人認為對於一般人是沒有必要的。如果三餐已經適量與規律，運動後只要適速與適量地補充水分即可。如果像軍隊或運動員的訓練，有時還要補充電解質；閣下的情形，請自行斟酌，但是如果飲用市售的運動飲料如果太鹹或太甜，也要考慮是否要稀釋。 或再行討論為宜；必要時，還要與運動醫學專家討論。在此，個人只能約略敘述"
